FacultyID,Category,Preference 1,Preference 2,Preference 3,Preference 4,Preference 5,Preference 6,Preference 7,Preference 8,Preference 9,Preference 10,Preference 11,Preference 12
Faculty1,x3,FDELE - CHE F266 - STUDY PROJECT,FDELE - HSS F314 - MARITIME STUDIES & BLUE ECON,FDCDC - GS F233 - PUBLIC POLICY,HDCDC - BIO G525 - ENVIR BIOTECH & WAS MGMT,HDELE - BIO G515 - STEM CELL & REGENER BIO,FDELE - ECON F214 - ECONOMIC ENV OF BUSINESS,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,FDCDC - PHY F315 - THEORY OF RELATIVITY,FDELE - ECE F376 - DESIGN PROJECT,HDELE - INSTR F266 - STUDY PROJECT,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,HDCDC - EE G501 - ENVIRONMENTAL SAMPLING AND ANALYTICAL METHODS
Faculty2,x2,FDCDC - MATH F432 - APPLIED STATISTICAL METHODS,FDCDC - CS F376 - DESIGN PROJECT,FDCDC - CS F468 - INFORMATION SECURITY PROJECT,FDCDC - GS F326 - CREATIVE THINKING,FDELE - BIO F214 - INTEGRATED BIOLOGY,HDCDC - EEE G581 - RF AND MICROWAVE ENGG,FDELE - CHEM F110 - CHEMISTRY LABORATORY,FDELE - CHEM F335 - ORGANIC CHEM & DRUG DES,HDELE - MEL G621 - VLSI DESIGN,HDELE - ME F216 - MATERIAL SCI AND ENGINEERIN,FDELE - EEE F376 - DESIGN PROJECT,HDCDC - BITS G563T - DISSERTATION
Faculty3,x1,FDCDC - PHY F419 - ADVANCED SOLID STATE PHYSICS,FDELE - CHEM F335 - ORGANIC CHEM & DRUG DES,"FDCDC - BIO F216 - WATER,SANITATION & SOLID WASTE",FDCDC - CHE F211 - CHEMICAL PROCESS CALCULATION,HDCDC - INSTR F311 - ELECTRO INST & INST TECH,FDELE - HSS F349 - ECOCRITICISM,HDELE - BITS G649 - READING COURSE,HDELE - BITS G562T - DISSERTATION,HDCDC - EEE G613 - ADVANCED DIGITAL SIGNAL PROCESSING,FDELE - BIO F313 - ANIMAL PHYSIOLOGY,FDELE - HSS F379 - INTRODUCTION TO PHILOSOPHY OF SCIENCE,FDCDC - HSS F236 - SYMBOLIC LOGIC
Faculty4,x3,FDCDC - CS F213 - OBJECT ORIENTED PROG,HDCDC - CS G519 - SOCIAL MEDIA ANALYTICS,FDELE - HSS F363 - DISASTER AND DEVELOPMENT,FDCDC - PHY F214 - ELEC MAGNET & OPTICS LAB,"FDCDC - BIO F217 - LAB FOR WATER, SANITATION & SOLID WASTE",FDCDC - MATH F311 - INTRODUCTION TO TOPOLOGY,HDELE - CHE G613 - ADVANCED MASS TRANSFER,HDELE - ME F212 - FLUID MECHANICS,FDELE - GS F231 - DYN OF SOCIAL CHANGE,FDELE - ECON F315 - FINANCIAL MANAGEMENT,FDELE - CHE F212 - FLUID MECHANICS,HDCDC - ME F314 - DESIGN OF MACHINE ELEMENTS
Faculty5,x3,FDCDC - PHY F211 - CLASSICAL MECHANICS,FDELE - BIO F266 - STUDY PROJECT,FDELE - HSS F375 - BUS & POL IN COL & POS COL IND,HDCDC - SAN G512 - SANITATION AND PUBLIC HEALTH,HDCDC - BITS G563T - DISSERTATION,FDELE - CHE F491 - SPECIAL PROJECTS,FDCDC - ECE F366 - LABORATORY PROJECT,FDCDC - CHE F211 - CHEMICAL PROCESS CALCULATION,HDELE - ME F212 - FLUID MECHANICS,FDCDC - CS F366 - LABORATORY PROJECT,FDELE - EEE F214 - ELECTRONIC DEVICES,HDELE - ME F491 - SPECIAL PROJECTS
Faculty6,x2,FDELE - HSS F375 - BUS & POL IN COL & POS COL IND,FDCDC - CS F468 - INFORMATION SECURITY PROJECT,FDELE - CHEM F376 - DESIGN PROJECT,HDELE - BITS G539 - RESEARCH PROJECT II,HDELE - CS G526 - ADV ALGO & COMPLEXITY,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,FDCDC - HSS F232 - INTRO TO DEV STUDIES,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV,FDELE - CS F429 - NATURAL LANG PROCESS,FDCDC - BITS F316 - NONLINEAR DYNAMICS AND CHAOS,HDCDC - MEL G625 - ADV ANALOG & MIX SIG DES,HDCDC - BIO G526 - CANCER BIOLOGY
Faculty7,x3,FDELE - CS F429 - NATURAL LANG PROCESS,FDCDC - GS F221 - BUSINESS COMMUNICATION,FDELE - EEE F491 - SPECIAL PROJECT,FDCDC - ECON F354 - DERIVATIVES &  RISK MGMT,FDCDC - IS F341 - SOFTWARE ENGINEERING,FDELE - EEE F215 - DIGITAL DESIGN,FDCDC - PHY F215 - INTRO TO ASTRO & ASTROPH,FDELE - CHE F266 - STUDY PROJECT,HDCDC - ME F415 - GAS DYNAMICS,HDELE - BITS G561T - DISSERTATION,HDCDC - BIO G661 - GENE TOXICOLOGY,HDELE - BITS G539 - RESEARCH PROJECT II
Faculty8,x3,HDELE - ME F376 - DESIGN PROJECT,HDCDC - CS G623 - ADVANCED OPERAT SYSTEMS,FDCDC - PHY F491 - SPECIAL PROJECT,FDELE - CHEM F330 - PHOTOPHYSICAL CHEMISTRY,FDELE - MATH F491 - SPECIAL PROJECT,HDELE - EEE G626 - HARDWARE SOFTWARE CO-DESIGN,FDCDC - HSS F372 - INTRODUCTION TO  SOCIAL PSYCHO,FDELE - EEE F376 - DESIGN PROJECT,FDCDC - MATH F266 - STUDY PROJECT,FDCDC - CS F351 - THEORY OF COMPUTATION,FDELE - ECON F315 - FINANCIAL MANAGEMENT,HDCDC - MEL G631 - PHY & MO OF MICROEL DEV
Faculty9,x3,HDCDC - ME F415 - GAS DYNAMICS,FDCDC - PHY F491 - SPECIAL PROJECT,FDCDC - PHY F211 - CLASSICAL MECHANICS,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II,FDELE - PHY F346 - LASER SCIENCE AND TECHNOLOGY,HDCDC - ME F314 - DESIGN OF MACHINE ELEMENTS,FDELE - ECON F315 - FINANCIAL MANAGEMENT,FDCDC - CS F446 - DATA STORAGE TECH & NETW,HDELE - BITS G649 - READING COURSE,FDELE - EEE F416 - DIGITAL COMMUNICATION,HDELE - CS G526 - ADV ALGO & COMPLEXITY,FDELE - ECON F313 - ISSUES IN ECONOMIC DEV
Faculty10,x3,FDELE - CS F314 - SOFT DEV FOR PORT DEVICE,HDCDC - EEE G581 - RF AND MICROWAVE ENGG,FDELE - HSS F349 - ECOCRITICISM,HDCDC - BITS G563T - DISSERTATION,FDELE - EEE F416 - DIGITAL COMMUNICATION,FDCDC - ECE F434 - DIGITAL SIGNAL PROCESS,FDELE - CHEM F110 - CHEMISTRY LABORATORY,HDELE - DE G611 - DYNAMICS & VIBRATION,FDCDC - PHY F215 - INTRO TO ASTRO & ASTROPH,FDCDC - ECON F266 - STUDY ORIENTED PROJECT,HDELE - BITS G619 - PROFESSIONAL PRACTICE,FDCDC - CHEM F213 - PHYSICAL CHEMISTRY II
